2352	81.70	64959
2360	81.13	65081
2368	80.79	65204
2376	80.42	65327
2384	80.79	65449
2392	80.91	65568
2400	80.64	65694
2408	80.70	65821
2416	80.61	65947
2424	80.27	66073
2432	79.60	66200
2440	78.69	66326
2448	77.65	66452
2456	76.49	66579
2464	75.06	66705
2472	73.08	66831
2480	70.73	66958
2488	67.99	67084
2496	64.91	67210
2504	62.31	67336
2512	60.70	67463
2520	58.41	67589
2528	56.40	67713
2536	55.76	67838
2544	55.00	67964
2552	54.05	68091
2560	53.17	68217
2568	52.19	68343
2576	51.95	68470
2584	51.31	68596
2592	49.94	68722
2600	48.35	68848
2608	45.00	68975
2616	41.34	69101
2624	38.02	69227
2632	34.69	69354
2640	31.95	69480
2648	29.45	69606
2656	27.35	69733
2664	25.21	69859
2672	23.08	69985
2680	21.22	70112
2688	19.20	70238
2696	17.47	70364
2704	15.97	70491
2712	14.51	70617
2720	13.44	70744
2728	12.07	70866
2736	10.79	70992
2744	9.66	71118
2752	8.32	71244
2760	7.13	71369
2768	5.82	71495
2776	4.66	71620
2784	3.75	71746
2792	2.74	71872
2800	1.80	71997
2808	0.70	72123
2816	0.19	72248
2824	0.52	72370
2832	0.83	72496
2840	1.04	72622
2848	1.47	72747
2856	1.77	72872
2864	2.17	72994
2872	2.44	73120
2880	2.65	73246
2888	3.05	73371
2896	3.05	73497
2904	3.30	73622
2912	3.42	73748
2920	3.17	73874
2928	3.08	74000
2936	3.05	74126
2944	3.14	74251
2952	2.96	74377
2960	2.87	74499
2968	2.75	74625
2976	2.75	74750
2984	2.87	74876
2992	3.17	75002
3000	2.93	75127
3008	2.96	75253
3016	2.87	75379
3024	2.81	75505
3032	2.75	75630
3040	2.87	75756
3048	2.96	75882
3056	2.84	76008
3064	2.72	76134
3072	2.87	76260
3080	2.93	76386
3088	2.65	76511
3096	2.53	76637
3104	2.53	76763
3112	2.44	76889
3120	2.05	77015
3128	2.11	77140
3136	0.58	77266
3144	0.03	77392
3152	1.37	77517
3160	0.19	77643
3168	0.19	77765
3176	2.56	77891
3184	7.05	78017
3192	4.36	78143
3200	2.35	78269
3208	9.33	78395
3216	2.23	78520
3224	10.98	78646
3232	1.83	78772
3240	23.47	78898
3248	19.85	79025
3256	1.47	79150
3264	7.62	79276
3272	14.73	79403
3280	30.31	79528
3288	55.34	79655
3296	54.00	79781
3304	68.02	79907
3312	85.73	80034
3320	86.01	80160
3328	41.28	80287
3336	7.14	80413
3344	6.56	80539
3352	5.49	80664
3360	4.42	80790
3368	1.25	80916
3376	14.58	81042
3384	10.70	81168
3392	3.02	81294
3400	24.30	81420
3408	3.23	81546
3416	0.12	81672
3424	1.25	81798
3432	1.37	81923
3440	0.14	62955
3448	0.20	63080
3456	0.04	63205
3464	0.17	63330
3472	0.04	63456
3480	0.08	63581
3488	0.20	63706
3496	0.08	63831
3504	0.05	63956
3512	0.05	64081
3520	0.01	64206
3528	0.01	64332
3536	0.01	64457
3544	0.05	64582
3552	0.20	64707
3560	1.38	64833
3568	0.35	64958
3576	0.11	65083
3584	0.07	65209
3592	0.29	65334
3600	0.41	65459
3608	0.29	65581
3616	0.20	65702
3624	0.02	65824
3632	0.20	65946
3640	0.14	66065
3648	0.02	66183
3656	0.11	66305
3664	0.02	66426
3672	0.04	66548
3680	0.07	66670
3688	0.32	66792
3696	0.08	66914
3704	0.08	67036
3712	0.17	67158
3720	0.14	67279
3728	0.29	67401
3736	0.08	67523
3744	0.04	67645
3752	0.29	67767
3760	0.08	67889
3768	0.11	68011
3776	0.14	68132
3784	0.04	68254
3792	0.17	68376
3800	0.11	68498
3808	0.01	68620
3816	0.08	68742
3824	0.29	68864
3832	0.08	68985
3840	0.02	69103
3848	0.14	69225
3856	0.17	69347
3864	0.08	69469
3872	0.11	69591
3880	0.05	69712
3888	0.11	69834
3896	0.20	69956
3904	0.05	70078
3912	0.17	70200
3920	0.01	70322
3928	0.41	70444
3936	0.08	70565
3944	0.01	70687
3952	0.11	70809
3960	0.23	70931
3968	0.02	71049
3976	0.20	71171
3984	0.17	71296
3992	0.07	71417
4000	0.05	71543
4008	0.01	71668
4016	0.05	71793
4024	0.17	71919
4032	0.32	72044
4040	0.01	72166
4048	0.23	72291
4056	0.02	72416
4064	0.20	72538
4072	0.02	72664
4080	0.11	72788
4088	0.26	72910
